cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
N15536160,28.00964207551917,512,-50.0,616.0,0.0,
N15536087,28.00505712080975,512,-50.0,622.0,0.0,
N15536086,28.004083010615133,512,-50.0,625.0,0.0,
N15536168,27.825356074741908,512,-50.0,617.0,0.0,
N15536167,27.89948693100287,512,-50.0,621.0,0.0,
N15536165,27.877757520091777,512,-50.0,616.0,0.0,
N15536403,27.981814442848677,512,-50.0,623.0,0.0,
N15536401,27.78618403843471,512,-50.0,621.0,0.0,
N15536164,28.00849354023836,512,-50.0,614.0,0.0,0.0
N15536161,28.01120065183056,512,-50.0,609.0,0.0,0.0
N15536162,27.970522432911157,512,-50.0,608.0,0.0,0.0
N15536317,28.00197200385892,512,-50.0,627.0,0.0,
N15536314,28.002288701582927,512,-50.0,627.0,0.0,
N15536318,28.0018293030408,512,-50.0,626.0,0.0,
N15536315,28.00219718777404,512,-50.0,626.0,0.0,
N15536340,28.00187924443459,512,-50.0,628.0,0.0,
N15536332,28.002073560442245,512,-50.0,628.0,0.0,
N15536316,28.00210341628717,512,-50.0,628.0,0.0,
N15536341,28.001438880453303,512,-50.0,628.0,0.0,
N15536311,28.002736461405853,512,-50.0,627.0,0.0,
N15536312,28.002913183095504,512,-50.0,626.0,0.0,
N15536308,28.002751408791056,512,-50.0,627.0,0.0,
N15536326,28.00211762408821,512,-50.0,626.0,0.0,
N15536323,28.002621709084025,512,-50.0,626.0,0.0,
N15536327,28.002272236103916,512,-50.0,626.0,0.0,
N15536342,28.00108216733349,512,-50.0,626.0,0.0,
N15536320,28.002987608617666,512,-50.0,625.0,0.0,
N15536133,28.012595157234035,512,-50.0,606.0,0.0,
N15536136,28.011495473433516,512,-50.0,608.0,0.0,
N15536134,28.01294400740643,512,-50.0,601.0,0.0,
N15536081,28.00793643873565,512,-50.0,619.0,0.0,
N15536058,28.01015674824617,512,-50.0,614.0,0.0,
N15536057,28.00871771209094,512,-50.0,618.0,0.0,
N15536130,28.01393645150321,512,-50.0,601.0,0.0,0.0
N15536055,28.01245300137267,512,-50.0,606.0,0.0,0.0
N15536052,28.01330313390615,512,-50.0,600.0,0.0,0.0
N15536054,28.01019435026208,512,-50.0,616.0,0.0,
N15536135,28.00677097087004,512,-50.0,577.0,0.0,0.0
N15536137,28.013190250007472,512,-50.0,596.0,0.0,
N15536138,28.012910414715204,512,-50.0,585.0,0.0,0.0
N15536143,30.460579619115716,243,-50.0,578.0,1.1829898357391355,0.0
N15536131,28.005753614464584,512,-50.0,576.0,0.0,0.0
N15536132,27.985226183521505,512,-50.0,569.0,0.1610760986804962,0.0
N15536075,28.00445969250737,512,-50.0,624.0,0.0,
N15536074,28.003882622232243,512,-50.0,625.0,0.0,
N15536072,28.00484984261649,512,-50.0,623.0,0.0,
N15536078,28.00401921174964,512,-50.0,624.0,0.0,
N15536077,28.003338093660314,512,-50.0,626.0,0.0,
N15536076,28.003508275868946,512,-50.0,626.0,0.0,
N15536071,28.004823918245275,512,-50.0,624.0,0.0,
N15536047,28.00515326675104,512,-50.0,623.0,0.0,
